2016-09-16 14:21:18,157 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-09-16 14:21:18,158 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-16 14:21:18,159 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/andrewconlin/SDJobFiles/ProjectBuilds/QuizAPI/QuizJPA/src/test/resources
2016-09-16 14:21:45,462 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-16 14:21:45,464 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-09-16 14:21:45,465 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-16 14:21:45,465 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/andrewconlin/SDJobFiles/ProjectBuilds/QuizAPI/QuizJPA/src/test/resources
2016-09-16 14:23:09,127 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-16 14:23:09,129 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-09-16 14:23:09,130 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-16 14:23:09,130 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/andrewconlin/SDJobFiles/ProjectBuilds/QuizAPI/QuizJPA/src/test/resources
2016-09-16 14:23:10,524 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-16 14:23:10,525 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-09-16 14:23:10,526 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
